"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"ll_vec","indep","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"-776.4","-819.2","-712.7"
"ll_vec","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4880.6","-4959.2","-4794.1"
"ll_vec","mech","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"-1423.8","-1467.5","-1376.0"
"ll_vec","mech","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"-2592.4","-2648.4","-2531.6"
"ll_vec","mech","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"-828.2","-867.9","-786.9"
"ll_vec","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
